repo,level,label,confidence,artifacts,tools,l2_primary,l3_primary,l4_primary
browser-cli,1,Ad Hoc,1.0,1,,1,0,0
browser-use,4,Agentic Orchestration,0.689,27,"claude-code, github-copilot, shared",10,12,5
btcrecover,4,Agentic Orchestration,0.752,48,"github-copilot, shared",26,21,1
bun,4,Agentic Orchestration,0.809,86,"claude-code, cursor, github-copilot, shared",61,24,1
bytebot,1,Ad Hoc,1.0,2,,2,0,0
camunda,4,Agentic Orchestration,0.81,114,github-copilot,78,17,19
canopy,4,Agentic Orchestration,0.761,22,"claude-code, shared",13,6,3
capgo,4,Agentic Orchestration,0.803,32,"claude-code, cursor, github-copilot, shared",22,7,3
capture-app,1,Ad Hoc,1.0,10,,4,4,2
cargo-semver-checks,2,Grounded Prompting,0.627,6,shared,6,0,0
cartography,4,Agentic Orchestration,0.761,126,"github-copilot, shared",103,5,18
celestia-app,4,Agentic Orchestration,0.771,98,github-copilot,67,21,10
celestia-core,4,Agentic Orchestration,0.794,480,github-copilot,336,92,52
celestiaorg__docs,1,Ad Hoc,1.0,1,,1,0,0
celldega,1,Ad Hoc,1.0,27,,25,2,0
ceo-bench,4,Agentic Orchestration,0.554,8,"github-copilot, shared",5,2,1
charts,3,Agent-Augmented,0.66,7,github-copilot,4,3,0
chat-gipitty,1,Ad Hoc,1.0,42,,21,20,1
chatlima,4,Agentic Orchestration,0.699,85,"claude-code, cursor",47,33,5
chussy,1,Ad Hoc,1.0,4,,2,1,1
chussy2,1,Ad Hoc,1.0,3,,2,0,1
cinemate,1,Ad Hoc,1.0,35,,19,13,3
circuit-json,1,Ad Hoc,1.0,5,,3,2,0
circuit-to-svg,2,Grounded Prompting,0.58,5,claude-code,5,0,0
circuitron,4,Agentic Orchestration,0.76,35,"github-copilot, shared",17,12,6
clarifai-python,3,Agent-Augmented,0.71,7,github-copilot,5,2,0
cli,3,Agent-Augmented,0.726,12,"github-copilot, shared",11,1,0
codetracer,4,Agentic Orchestration,0.736,118,"github-copilot, openai-codex, shared",74,31,13
codex_bootstrap,4,Agentic Orchestration,0.603,15,shared,12,1,2
comp,4,Agentic Orchestration,0.779,38,"cursor, github-copilot",30,3,5
composio,4,Agentic Orchestration,0.707,74,claude-code,29,42,3
core,4,Agentic Orchestration,0.715,13,claude-code,9,3,1
core-banking-prototype-laravel,4,Agentic Orchestration,0.779,220,"claude-code, github-copilot, shared",100,64,56
cosh,3,Agent-Augmented,0.743,9,claude-code,8,1,0
crewAI-tools,1,Ad Hoc,1.0,78,,53,21,4
crossmint-sdk,1,Ad Hoc,1.0,16,,11,5,0
csv,3,Agent-Augmented,0.44,4,shared,2,2,0
cuckoo,1,Ad Hoc,1.0,1,,1,0,0
curator,1,Ad Hoc,1.0,13,,2,11,0
darkness,1,Ad Hoc,1.0,15,,5,9,1
deepsearch-ui,1,Ad Hoc,1.0,1,,1,0,0
devtools,4,Agentic Orchestration,0.786,85,"github-copilot, shared",56,15,14
dhlottery-api,1,Ad Hoc,1.0,2,,2,0,0
disaster-ninja-be,2,Grounded Prompting,0.615,2,shared,2,0,0
disaster-ninja-fe,4,Agentic Orchestration,0.797,105,"github-copilot, shared",55,24,26
discord-rod,3,Agent-Augmented,0.44,2,shared,1,1,0
doc,4,Agentic Orchestration,0.779,193,claude-code,164,18,11
